Sample,GeneOrder,Species
S001,A,Pseudodrifa nigra 2
S002,A,Pseudodrifa nigra 1
S003,A,Pseudodrifa nigra 1
S004,A,Pseudodrifa nigra 2
S005,A,Swifita nov sp
S006,C,Pseudoanthomastus sp 
S007,A,Metallogorgia melanotrichos 
S008,A,Chrysogorgia cf artospira
S009,C,Hemicorallium cf Imperiale
S010,A,Paramuricea type B
S011,A,Iridogorgia splendens 
S012,A,Acanthogorgia spissa 
S013,A,Swiftia sp 
S014,A,Acanthogorgia aspera 
S015,A,Paramuricea type A
S016,C,Anthomastus  
S018,A,Swiftia casta 
S019,A,Chrysogorgia sp 1b
S020,A,Carijoa sp 
S030,A,Swiftia pallida 
S031,A,Lateothela grandiflora 
S032,A,Plumarella sp 1
S033,A,Callogorgia delta 
S034,A,Alcyonacea sp 
S035,A,Plexauridae sp 2
S036,A,Plexauridae sp 3
S037,A,Holoxonia sp 1
S038,A,Paragorgia sp 
S042,A,Ellisellidae sp 4
S043,A,Placogorgia sp 
S044,A,Placogorgia sp 
S045,A,Ellisellidae sp 6
S046,A,Alcyonacea sp 2
S047,A,Ellisellidae sp 2
S048,A,Placogorgia sp 3
S049,A,Plexauridae sp 1
S050,A,Ellisellidae sp 3
S052,C,Anthomastus sp 
S055,A,Holoxonia sp 2
S056,A,Holoxonia sp 3
S057,A,Leptogorgia sp 
S058,A,Chironepthya sp 2
S062,C,Anthomastus sp 
S063,A,Alcyonacea sp 3
S066,A,Holoxonia sp 4
S067,A,Ellisellidae sp 5
S068,A,Ellisellidae sp 6
S069,A,Chironephthya sp 1
S071,A,Plexauridae sp 4
S072,A,Octocorallia sp 
S073,A,Alcyonacea sp 4
S074,A,Callogorgia sp 
S075,A,Alcyonacea sp 6
S080,A,Primnoidae sp 
S081,A,Paramuricea sp 
S082,A,Chelidonsis sp 
S083,A,Muricella Sp 2
S084,A,Alcyonacea sp 5
S085,A,Swiftia exserta 
S086,A,Swiftia exserta 
S087,A,Swiftia exserta 
S088,A,Swiftia exserta 
S089,A,Swiftia exserta 
S090,A,Muricea pendula 
S091,A,Muricea pendula 
S092,A,Muricea pendula 
S093,A,Muricea pendula 
S094,A,Muricea pendula 
S095,A,Ellisellidae sp 7
S096,A,Pseudoplexaura flagellosa 
S097,A,Plexaurella dichotoma 
S098,A,Eunicea succinea 
S099,A,Antillogorgia n sp
S100,A,Antillogorgia kallos 
S101,A,Eunicea tayrona 
S102,A,Eunicea clavigera 
S103,A,Muricea elongata 
S104,A,Eunicea tourneforti fatra
S105,A,Eunicea calyculata 
S106,A,Eunicea tourneforti 
S107,A,Antillogorgia americana 
S108,A,Eunicea knighti 
S109,A,Pterogorgia citrina 
S110,A,Plexaurella grisea 
S111,A,Eunicea fusca 
S112,A,Pseudoplexaura porosa 
S113,A,Antillogorgia bipinnata 
S114,A,Eunicea fusca 
S115,A,Plexaura kuna 
S116,A,Pterogorgia guadalupensis 
S117,A,Eunicea laciniata 
S118,A,Antillogorgia acerosa 
S119,A,Muricea atlantica 
S121,A,Plexaura homomalla 
S122,A,Muricea laxa 
S123,A,Eunicea flexuosa 
S124,A,Eunicea mammosa 
S125,A,Pseudoplexaura wagenaari 
S126,A,Briareum asbestinum 
S127,A,Plexaura kukenthali 
S128,A,Muricea  atlantica
S129,A,Pterogorgia anceps 
S130,A,Thouarella bidentata
S131,A,Paramuricea Type E
S132,A,Antillogorgia elisabethae
S133,A,Gorgonia flabellum
ANT019,A,Alcyonium acaule
ANT020,A,Alcyonium digitatum
ANT021,A,Alcyonium haddoni
ANT022,C,Anthomastus sp.
ANT023,A,Chrysogorgia tricaulis
ANT024,A,Clavularia sp.
ANT025,B,Coelogorgia palmosa
ANT026,A,Cornularia pabloi
ANT027,A,Erythropodium caribaeorum
ANT029,B,Keratoisidinae
